nuc_rRNA,nuc_RP,nuc_pol,nuc_AARS,nuc_tRNA,minV_R,minV_H,minV_G,Ntotal_R,Ntotal_H,Ntotal_D,ribo_R,pol_R,ribo_H,pol1_H,pol2_H,ribo_D,pol1_D,pol2_D,nuc_y,nuc_z_to_nuc_y_ratio,kpol_to_kribo_ratio
4364,7199,1671,1000000,10632894.6783792,0,707.584312535625,5291.45923831466,0,17,77,0,0,3,1,1,7,5,5,1000000,10,100
4295,8013,1558,1000000,9578270.59442321,5096.42365764743,3203.68686277232,4791.8772790049,79,86,78,17,5,16,5,5,8,5,5,1000000,10,100
4213,8869,1788,1000000,9772507.17072986,959.816832055799,3264.02869784587,4885.92482484032,16,91,78,4,1,17,5,5,8,5,5,1000000,10,100
4143,8246,1565,1000000,9615629.83178242,5243.74308690418,6706.79853695193,4831.47307124625,78,94,78,16,5,10,5,5,8,5,5,1000000,10,100
4419,8077,1591,1000000,9864054.81061128,5339.02731824292,3292.39511826502,4944.4481627412,78,86,78,16,5,16,5,5,8,5,5,1000000,10,100
4204,6923,1672,1000000,9611968.5870921,4980.29561664131,3223.81878372835,4807.52663578093,79,91,78,18,5,18,5,5,8,5,5,1000000,10,100
4186,6876,1771,1000000,10059289.2711409,5405.24776617455,3348.63277586866,5007.29730960354,78,90,78,16,5,18,6,6,8,5,5,1000000,10,100
4055,8099,1774,1000000,10172326.7275748,0,3382.01185291029,5066.87229969658,0,86,80,0,0,16,5,5,8,5,5,1000000,10,100
4270,6919,1511,1000000,10313304.4526686,5504.18623543521,687.916044019251,5122.32533799946,77,17,78,15,5,3,1,1,8,5,5,1000000,10,100
4106,8869,1775,1000000,9783502.15475524,0,3266.96457334551,4910.65520654507,0,86,78,0,0,16,5,5,8,5,5,1000000,10,100
4256,7778,1665,1000000,9785099.10040646,0,3276.85775536248,4885.22934920739,0,86,78,0,0,16,5,5,8,5,5,1000000,10,100
4432,8888,1636,1000000,10171446.4712953,5465.02851631195,679.189432803783,5060.51509937417,78,17,78,16,5,3,1,1,8,5,5,1000000,10,100
4489,6207,1578,1000000,10236865.7657531,5437.73889819113,687.706317321476,5111.94858304093,78,17,78,16,5,3,1,1,8,5,5,1000000,10,100
4447,6720,1595,1000000,9309749.20297805,5111.45136803134,3130.2354743796,4693.38993844887,78,87,78,16,5,17,5,5,8,5,5,1000000,10,100
4016,8172,1672,1000000,9509539.9170559,0,8781.08946856967,4784.46073277042,0,101,78,0,0,6,6,6,8,5,5,1000000,10,100
4195,7998,1516,1000000,9875660.69166771,5342.62403701122,3304.66740547123,4949.46571091342,78,86,78,16,5,16,5,5,8,5,5,1000000,10,100
4054,7742,1679,1000000,9770354.57101513,5299.59560043311,3356.20416703657,4901.95051562533,78,92,78,16,5,17,5,6,8,5,5,1000000,10,100
4427,8315,1563,1000000,9034276.97956399,5016.08977879126,3044.60512573066,4643.48290983912,78,87,78,16,5,17,5,5,8,5,5,1000000,10,100
4201,7739,1570,1000000,9011105.21495795,5002.04380780106,3038.75630013029,4559.93019067415,78,88,79,16,5,18,5,5,9,5,5,1000000,10,100
4411,6666,1779,1000000,9521726.79785252,6397.50793531984,3195.82860874009,4790.3696703916,78,86,78,12,5,16,5,5,8,5,5,1000000,10,100
4036,6795,1655,1000000,9260571.40776631,6362.82240181592,3114.82139737743,4671.10295302271,78,87,78,12,5,17,5,5,8,5,5,1000000,10,100
4057,7271,1571,1000000,9170067.89887428,6582.79911006814,3275.98853609698,4608.16497595202,79,100,79,11,5,20,5,6,9,5,5,1000000,10,100
4029,7136,1701,1000000,10905310.2267924,0,3621.38796207598,5389.44365442214,0,84,78,0,0,14,5,5,8,5,5,1000000,10,100
4012,7498,1642,1000000,10053249.1677767,4957.48069477818,3357.52475232907,5005.17029635359,79,86,78,19,5,16,5,5,8,5,5,1000000,10,100
4404,8589,1637,1000000,10245139.9269375,0,683.729976576519,5092.30977190576,0,17,78,0,0,3,1,1,8,5,5,1000000,10,100
4346,8123,1684,2500000,23493252.069295,12784.0825900863,8001.4603673921,11816.3004112639,78,93,78,16,5,17,6,5,8,5,5,2500000,10,100
4469,6173,1645,2500000,26218262.3582472,12589.1384406409,5034.69269934102,13248.0772020158,79,19,80,19,5,1,1,1,8,6,6,2500000,10,100
4232,6268,1546,2500000,25030218.066164,0,0,12460.6528857181,0,0,78,0,0,0,0,0,8,5,5,2500000,10,100
4364,6931,1503,2500000,26700519.934634,12676.0130152381,1766.60383689367,13225.2852180122,79,17,80,19,5,3,1,1,8,5,5,2500000,10,100
4120,7836,1700,2500000,26763789.6815517,14917.7144440205,1777.16566656018,13258.7780529691,76,17,77,14,5,3,1,1,7,5,5,2500000,10,100
4256,8005,1760,2500000,24669735.0408812,0,8252.55043255854,12300.0091373669,0,86,81,0,0,16,5,5,8,5,5,2500000,10,100
4339,7049,1649,2500000,26104672.1155976,13792.1824192947,1735.88515863795,12938.7320099701,77,17,77,15,5,3,1,1,7,5,5,2500000,10,100
4201,7025,1685,2500000,26641606.7734864,13999.0614988452,0,13216.5743693619,76,0,79,15,5,0,0,0,7,5,5,2500000,10,100
4018,7891,1718,2500000,26270072.0250245,0,8707.88900569826,13015.4278791491,0,89,77,0,0,16,5,5,7,5,5,2500000,10,100
4485,6538,1777,2500000,27297176.4604752,0,9004.19990236576,13563.3860069247,0,84,77,0,0,14,5,5,7,5,5,2500000,10,100
4083,8493,1529,2500000,26235184.5948217,0,0,13060.9946572576,0,0,77,0,0,0,0,0,7,5,5,2500000,10,100
4334,6127,1606,2500000,26048368.845824,13735.6478584524,1735.26868994601,12918.5077970167,76,17,77,15,5,3,1,1,7,5,5,2500000,10,100
4084,8294,1705,2500000,24928901.4040584,0,1666.4392745874,12419.4557833429,0,17,78,0,0,3,1,1,8,5,5,2500000,10,100
4396,6988,1709,2500000,22781585.3371805,12306.7228834565,7670.24500427031,11463.0658180334,79,87,78,17,5,17,5,5,8,5,5,2500000,10,100
4136,8382,1625,2500000,26745703.0227592,18309.8522872857,8839.22450162553,13265.3586382949,79,91,77,12,5,17,6,6,7,5,5,2500000,10,100
4307,8920,1638,2500000,23122156.4036296,17849.168315061,7788.03177670139,0,79,87,0,9,5,17,5,5,0,0,0,2500000,10,100
4117,6235,1617,2500000,27015209.068712,0,8918.81415324974,0,0,86,0,0,0,14,5,5,0,0,0,2500000,10,100
4396,6298,1712,2500000,25541160.2285326,0,1703.58562923804,12692.4375099951,0,17,78,0,0,3,1,1,8,5,5,2500000,10,100
4133,7788,1569,2500000,23624897.9649816,12832.6330164951,7933.37024761881,12011.3447369213,78,86,81,16,5,16,5,5,9,6,6,2500000,10,100
4022,8084,1656,2500000,23732171.1575747,13917.8230373716,8374.4534416548,11893.9308480167,78,94,78,15,5,18,5,6,8,5,5,2500000,10,100
4478,6482,1779,2500000,24798049.6886769,12179.0584732408,1655.83003728667,12591.8076397187,79,17,81,19,5,3,1,1,9,6,6,2500000,10,100
4300,6435,1731,2500000,25495796.3393123,0,1698.30341643946,12726.2419808367,0,17,78,0,0,3,1,1,8,5,5,2500000,10,100
4345,8707,1789,2500000,23226947.3059041,12230.382292059,7792.75816742662,11702.4300559631,78,86,78,17,5,16,5,5,8,5,5,2500000,10,100
4109,7098,1593,2500000,27409402.9470561,14295.3290500947,9093.48521329169,13550.4174277618,76,84,77,15,5,14,5,5,7,5,5,2500000,10,100
4144,7451,1687,2500000,23094172.5936023,0,7750.21559815707,11593.3363938304,0,87,78,0,0,17,5,5,8,5,5,2500000,10,100
4021,6935,1723,2500000,25216075.0118594,12426.1913140901,1684.11299774331,12550.7551671118,78,17,80,18,5,3,1,1,8,5,5,2500000,10,100
4019,8326,1602,2500000,23006488.1541549,0,7764.66717320686,11551.7371247509,0,87,78,0,0,17,5,5,8,5,5,2500000,10,100
4386,7750,1581,2500000,23451615.6373514,12158.8103277865,7877.034573141,14372.0472733326,79,86,79,18,5,16,5,5,7,5,5,2500000,10,100
4340,6016,1745,2500000,26839953.3900477,0,1783.62996290562,13271.592172915,0,17,77,0,0,3,1,1,7,5,5,2500000,10,100
4120,7629,1745,2500000,23271190.2110217,12693.0179426718,0,11669.8437318317,78,0,78,16,5,0,0,0,8,5,5,2500000,10,100
4189,7736,1752,2500000,25944552.6007179,0,1721.35455075448,0,0,17,0,0,0,3,1,1,0,0,0,2500000,10,100
4444,6334,1675,2500000,27304518.2574325,0,0,13480.1305105535,0,0,79,0,0,0,0,0,7,5,5,2500000,10,100
4489,8136,1714,2500000,23233184.50964,0,7803.04750549551,16535.2962655561,0,86,80,0,0,16,5,5,6,5,5,2500000,10,100
4292,7436,1747,2500000,24811916.515526,13318.1774777293,0,12357.3255778014,78,0,78,16,5,0,0,0,8,5,5,2500000,10,100
4017,8054,1551,2500000,27173165.8209119,14211.7038158796,5030.38187236884,13438.8785175022,76,19,77,15,5,1,1,1,7,5,5,2500000,10,100
4405,6108,1594,2500000,24472261.6051313,0,0,12230.4281782846,0,0,78,0,0,0,0,0,8,5,5,2500000,10,100
4222,7661,1605,2500000,24054021.0023373,17544.4470292023,8055.91043652956,12030.0267454247,79,86,82,11,5,16,5,5,8,5,5,2500000,10,100
4008,8095,1716,2500000,24370711.9475474,0,11231.0922075399,12202.533394273,0,85,78,0,0,11,5,5,8,5,5,2500000,10,100
4337,8903,1736,2500000,23400102.9726939,12753.9389741947,7846.16879380527,11745.5666369097,78,86,83,16,5,16,5,5,9,5,5,2500000,10,100
4302,7727,1516,2500000,24567855.6643537,0,8221.09995215232,12439.0566531591,0,86,81,0,0,16,5,5,9,6,6,2500000,10,100
4147,7890,1733,2500000,24980275.8179891,16063.9821468349,0,12518.6046329312,77,0,78,12,5,0,0,0,8,5,5,2500000,10,100
4044,6068,1585,2500000,23682627.9891572,12083.440514139,0,11848.2397392942,79,0,78,18,5,0,0,0,8,5,5,2500000,10,100
4091,8861,1603,2500000,26291227.8215427,0,1742.9528079656,13025.8409537711,0,17,77,0,0,3,1,1,7,5,5,2500000,10,100
4480,8302,1771,2500000,26778345.7367861,14062.4968250633,8858.85104096911,0,76,84,0,15,5,14,5,5,0,0,0,2500000,10,100
4360,7221,1513,2500000,24457036.3638213,0,8153.39703435223,12248.0842786555,0,86,78,0,0,16,5,5,8,5,5,2500000,10,100
4249,8545,1540,2500000,25537917.0128189,12296.4588472921,12751.1626720573,12683.9780508694,79,86,78,19,5,10,5,5,8,5,5,2500000,10,100
4351,6609,1743,2500000,25463323.8005753,0,25219.6007285456,12656.5042038121,0,97,81,0,0,5,5,5,8,5,5,2500000,10,100
4341,7918,1586,2500000,23408955.8014833,0,7879.56589525023,11743.6341041764,0,87,79,0,0,17,5,5,9,5,5,2500000,10,100
4027,6859,1754,2500000,23070091.5247696,0,7753.65432351234,11585.6759991719,0,87,79,0,0,17,5,5,9,5,5,2500000,10,100
4043,6161,1700,2500000,23204930.3174621,0,7873.5379903944,17433.2648384618,0,86,81,0,0,16,5,5,5,5,5,2500000,10,100
4177,7904,1619,250000,1278342.61601861,907.632946407114,477.775221671109,141.121247708961,88,116,17,22,5,41,6,6,3,1,1,250000,5,100
4293,6459,1753,250000,1176011.37698922,0,603.599741649113,141.357184340252,0,98,17,0,0,24,5,5,3,1,1,250000,5,100
4407,6706,1722,250000,1159363.39322218,0,602.273746663001,650.084269756305,0,98,86,0,0,24,5,5,16,5,5,250000,5,100
4053,7063,1575,250000,1207166.2257732,869.210693760939,615.618503647101,671.641738124345,90,98,86,23,5,24,5,5,16,5,5,250000,5,100
4145,6834,1665,250000,1298455.12763045,955.066223859135,632.137128469139,142.664893443116,87,97,17,20,5,23,5,5,3,1,1,250000,5,100
4324,8939,1669,250000,1311702.87694408,1182.4514482635,486.054728708692,758.857625701802,87,103,84,15,5,33,5,5,14,5,5,250000,5,100
4117,8952,1676,250000,1144719.13176256,0,621.450555010449,0,0,100,0,0,0,24,5,5,0,0,0,250000,5,100
4469,6306,1763,250000,1184421.72279136,853.18552313557,603.681653122297,662.132242464258,90,98,86,23,5,24,5,5,16,5,5,250000,5,100
4053,7758,1744,250000,1235995.34332968,0,628.909900975725,137.03687177525,0,97,17,0,0,23,5,5,3,1,1,250000,5,100
