nuc_rRNA,nuc_RP,nuc_pol,nuc_AARS,nuc_tRNA,minV_R,minV_H,minV_G,Ntotal_R,Ntotal_H,Ntotal_D,ribo_R,pol_R,ribo_H,pol1_H,pol2_H,ribo_D,pol1_D,pol2_D,nuc_y,nuc_z_to_nuc_y_ratio
4026,7220,1539,25000,262298.336057319,0,93.8656982498612,140.418411563339,0,108,127,0,0,5,11,11,5,15,15,25000,10
4475,7389,1547,25000,248666.404761577,0,91.3404426184804,0,0,106,0,0,0,5,11,11,0,0,0,25000,10
4267,7097,1709,25000,230093.125108544,0,85.3183347889922,125.504239565447,0,104,123,0,0,5,12,12,5,16,16,25000,10
4291,7394,1620,25000,273269.828997198,0,97.3358968653596,145.747950648335,0,108,128,0,0,5,11,11,5,15,15,25000,10
4205,7561,1774,25000,225388.418699467,0,82.9156088027047,0,0,104,0,0,0,5,10,10,0,0,0,25000,10
4113,8426,1666,25000,267351.292712147,0,95.7919806185184,143.093436917605,0,108,127,0,0,5,12,12,5,18,18,25000,10
4109,8719,1795,25000,237370.371578454,0,86.8593237923738,129.975735326429,0,104,123,0,0,5,11,11,5,14,14,25000,10
4443,7225,1691,25000,255025.370161832,0,91.6467472855682,137.666671753469,0,106,126,0,0,5,12,12,5,15,16,25000,10
4389,7419,1722,25000,270744.96967408,0,96.7347384230388,0,0,108,0,0,0,5,11,11,0,0,0,25000,10
4188,6608,1573,25000,236485.273850009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25000,10
4286,6165,1787,25000,230182.761908621,0,84.536752380928,125.341604730677,0,105,122,0,0,5,11,11,5,17,17,25000,10
4278,7181,1660,25000,251151.131636424,0,90.5995455006799,135.021097001448,0,106,126,0,0,5,10,10,5,18,18,25000,10
4427,8185,1720,25000,246576.827261087,0,90.4633993080743,26.586190226098,0,105,25,0,0,5,11,11,1,4,4,25000,10
4444,6274,1714,25000,260796.042829452,0,0,140.89927351805,0,0,127,0,0,0,0,0,5,16,17,25000,10
4303,6703,1744,25000,226235.468074039,0,82.5008061394945,124.488694169243,0,104,123,0,0,5,12,12,5,15,15,25000,10
4178,8997,1748,25000,272249.839453592,99.5990341437568,97.8358352166286,145.553881960842,61,108,127,5,5,5,12,12,5,18,18,25000,10
4478,7021,1591,25000,248592.671340885,0,89.0992216718617,134.104549094751,0,105,124,0,0,5,13,13,5,16,16,25000,10
4387,8744,1533,25000,254053.125769326,0,0,27.4996318833893,0,0,25,0,0,0,0,0,1,3,3,25000,10
4256,6931,1786,25000,273904.332823907,0,97.5496119536817,146.955114104862,0,109,128,0,0,5,11,11,5,16,17,25000,10
4253,8246,1704,25000,265516.4439136,0,95.0221084020854,0,0,106,0,0,0,5,12,12,0,0,0,25000,10
4048,6499,1690,100000,1064757.44433849,0,0,548.205865445161,0,0,128,0,0,0,0,0,5,17,18,100000,10
4165,7946,1774,100000,1036953.93859299,0,359.36776658014,537.465318103571,0,108,128,0,0,5,10,10,5,15,15,100000,10
4310,6034,1530,100000,957414.074834976,0,332.808134543177,498.907132803701,0,107,125,0,0,5,12,12,5,16,17,100000,10
4200,7866,1567,100000,922710.448322262,0,324.345843611728,0,0,105,0,0,0,5,9,9,0,0,0,100000,10
4297,8087,1754,100000,1062895.6293578,0,367.010416638072,549.616589900714,0,109,128,0,0,5,11,11,5,18,18,100000,10
4350,7188,1715,100000,992146.549360755,0,344.036155632736,515.516734913359,0,107,126,0,0,5,11,11,5,17,17,100000,10
4371,7511,1761,100000,929584.598964258,0,0,493.381882241399,0,0,128,0,0,0,0,0,5,16,17,100000,10
4307,6723,1654,100000,986545.448477293,0,346.445462683701,513.209986893421,0,107,127,0,0,5,10,10,5,15,15,100000,10
4011,7042,1775,100000,980908.136727376,0,341.499042503427,547.148038904162,0,107,178,0,0,5,10,10,5,5,5,100000,10
4018,8781,1579,100000,1021511.47693634,0,355.639783140988,529.355296478507,0,108,126,0,0,5,10,10,5,17,17,100000,10
4250,8165,1787,100000,1084428.43598431,0,374.973124924741,558.79505838864,0,109,129,0,0,5,11,11,5,17,17,100000,10
4039,7227,1659,100000,1021682.63290836,0,355.028018184771,565.307716498799,0,107,183,0,0,5,11,11,5,5,5,100000,10
4277,7273,1751,100000,1067823.6251613,0,373.00381189984,550.186422398734,0,109,129,0,0,5,11,10,5,16,16,100000,10
4110,7202,1674,100000,1096824.22618742,0,376.669155068102,562.724864916532,0,109,129,0,0,5,12,12,5,16,16,100000,10
4060,8181,1513,100000,963422.192590617,0,336.527580351528,503.020572921685,0,107,125,0,0,5,10,10,5,16,16,100000,10
4164,6284,1685,100000,914727.896814739,0,64.2890456647795,476.43339780223,0,21,124,0,0,1,2,2,5,19,19,100000,10
4072,6462,1676,100000,1002514.49498989,0,347.680857038092,519.801868171139,0,107,126,0,0,5,10,10,5,17,17,100000,10
4483,6335,1646,100000,900902.906815557,0,316.770276256442,0,0,104,0,0,0,5,11,11,0,0,0,100000,10
4420,6438,1653,100000,1031865.43620704,0,359.112786265715,533.684215451647,0,108,127,0,0,5,11,12,5,16,17,100000,10
4117,7793,1528,100000,973420.978201169,0,339.799130786944,507.218400642349,0,108,126,0,0,5,10,10,5,15,15,100000,10
4071,7754,1547,100000,959872.30015566,0,335.592687806253,501.796456212078,0,108,126,0,0,5,10,10,5,14,14,100000,10
4404,7438,1639,100000,959765.595776608,0,0,499.472320148113,0,0,124,0,0,0,0,0,5,16,16,100000,10
4018,7224,1601,100000,1057271.1459909,0,364.784817529943,577.116924919389,0,107,182,0,0,5,12,12,6,7,8,100000,10
4167,8992,1584,100000,944404.780081531,0,329.444869649747,0,0,105,0,0,0,5,11,11,0,0,0,100000,10
4297,6141,1797,100000,923260.993906454,0,64.8407133655211,482.990057321607,0,21,123,0,0,1,2,2,5,15,15,100000,10
4455,7580,1574,100000,921197.290059689,0,325.779806224854,483.08805822507,0,106,124,0,0,5,11,11,5,15,15,100000,10
4084,7358,1592,100000,1077340.52748355,0,372.61816389141,556.043221890203,0,109,128,0,0,5,11,11,5,17,17,100000,10
4089,8361,1566,100000,1030017.21291332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,10
4312,8652,1753,100000,966272.000536142,0,337.788704472475,504.828794902292,0,107,125,0,0,5,10,10,5,14,14,100000,10
4162,7708,1757,100000,1013318.0288396,0,351.900595089336,526.857750865617,0,108,127,0,0,5,12,12,5,17,17,100000,10
4341,8449,1730,100000,1072560.03687721,0,370.012046406757,553.538761580916,0,107,129,0,0,5,12,12,5,15,15,100000,10
4441,8460,1600,100000,940648.450672017,0,65.8794443732778,492.159397837958,0,21,124,0,0,1,2,2,5,15,15,100000,10
4407,7638,1679,100000,1051240.11941664,0,368.319973777059,541.861940144615,0,109,127,0,0,5,11,11,5,16,16,100000,10
4314,7353,1680,100000,918993.18739863,0,322.582330253345,480.891410614934,0,106,123,0,0,5,10,10,5,16,16,100000,10
4016,8538,1597,100000,1044225.81707688,0,361.736791555306,0,0,109,0,0,0,5,10,10,0,0,0,100000,10
4097,7413,1753,100000,989444.368033949,0,344.718092053156,110.354640515749,0,108,36,0,0,5,10,10,1,1,1,100000,10
4294,8576,1624,100000,1098125.87935718,0,377.80261534203,621.611655790893,0,109,187,0,0,5,12,13,5,7,8,100000,10
4111,8307,1761,100000,1023373.27834191,0,354.924338905149,0,0,107,0,0,0,5,10,10,0,0,0,100000,10
4156,6661,1568,100000,996441.281203506,0,346.001966492016,517.046260848131,0,107,126,0,0,5,12,12,5,17,17,100000,10
4159,8723,1509,100000,1005361.32751282,0,0,523.044829114727,0,0,127,0,0,0,0,0,5,14,14,100000,10
4043,6846,1761,100000,950656.465800177,0,332.091509755498,496.259753831912,0,106,125,0,0,5,12,12,5,16,17,100000,10
4442,8111,1685,100000,1058119.01805128,0,365.818674708025,543.927464298446,0,108,128,0,0,5,10,10,5,19,19,100000,10
4381,8045,1666,100000,1013090.72387109,0,353.205901189752,525.732379074636,0,108,127,0,0,5,10,10,5,17,17,100000,10
4278,6548,1515,100000,1095619.79010377,0,376.329293514673,562.440646200536,0,109,129,0,0,5,12,13,5,17,18,100000,10
4180,8875,1625,100000,1081889.80285106,0,372.878022758343,0,0,108,0,0,0,5,12,12,0,0,0,100000,10
4216,8459,1505,100000,1069833.46970491,0,369.681079255287,551.654779782871,0,109,128,0,0,5,12,12,5,15,15,100000,10
4449,6475,1649,100000,1097651.24782037,0,377.444498635157,112.192451152275,0,108,26,0,0,5,10,10,1,4,4,100000,10
4125,6214,1578,100000,1093627.4560428,0,373.57320712415,562.368018571156,0,110,129,0,0,5,13,13,5,17,18,100000,10
4139,8353,1557,100000,998150.724235906,0,346.337659779427,526.260127695219,0,107,127,0,0,5,11,12,5,16,16,100000,10
4331,6369,1535,100000,936957.138868721,0,328.237332971835,97.9911624235592,0,105,25,0,0,5,9,9,1,3,3,100000,10
4038,8607,1708,250000,2288891.74919305,0,798.726348275901,1194.76122292852,0,107,124,0,0,5,10,10,5,13,13,250000,10
4090,8835,1792,250000,2486267.40277708,0,859.19303986897,1282.74311682078,0,108,126,0,0,5,10,10,5,16,17,250000,10
4121,8068,1583,250000,2447746.0064552,0,852.605659583908,1328.53903536247,0,108,138,0,0,5,10,10,5,10,11,250000,10
4325,8753,1669,250000,2443105.47237488,0,844.715547166411,1260.49136678521,0,107,126,0,0,5,12,12,5,17,17,250000,10
4335,6961,1616,250000,2493731.0866981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250000,10
4267,6703,1756,250000,2644627.48176185,0,905.835531307009,0,0,108,0,0,0,5,12,12,0,0,0,250000,10
4487,8973,1774,250000,2720814.31490736,0,932.838381606242,1384.83628570099,0,108,130,0,0,5,11,11,5,19,19,250000,10
